115,,"Youri Tielemans Leicester, 22, M(C)",2,180,-,-,-,-,3,77.9,1,-,6.9
116,,"Aaron Ramsdale Bournemouth, 21, Goalkeeper",2,180,-,-,-,-,-,45.8,0.5,-,6.88
117,,"Martín Montoya Brighton, 28, D(LR)",2,180,-,-,-,-,-,74.7,1,-,6.88
118,,"James McArthur Crystal Palace, 31, M(CLR)",2,172,-,-,-,-,-,71.0,1,-,6.87
119,,"Scott McTominay Manchester United, 22, DMC",2,180,-,-,-,-,1,84.0,2,-,6.87
120,,"Pedro Chelsea, 32, M(CLR)",2,180,-,-,-,-,2.5,83.5,0.5,-,6.86
121,,"Ahmed El Mohamady Aston Villa, 31, D(R),M(R)",2,180,-,-,-,-,-,88.5,1.5,1,6.86
122,,"Toby Alderweireld Tottenham, 30, D(CR)",2,180,-,-,-,-,1,87.8,3,-,6.86
123,,"Victor Lindelöf Manchester United, 25, D(CR)",2,180,-,-,1,-,-,88.9,1.5,-,6.85
124,,"Florin Andone Brighton, 26, FW",0(2),42,1,-,-,-,0.5,62.5,1.5,-,6.84
125,,"Trézéguet Aston Villa, 24, AM(LR)",2,146,-,-,-,-,2.5,87.5,1.5,-,6.83
126,,"Joe Willock Arsenal, 20, AM(C)",2,154,-,-,-,-,1,84.3,0.5,-,6.82
127,,"Isaac Hayden Newcastle United, 24, DMC",2,180,-,-,-,-,0.5,75.0,1,-,6.82
128,,"Joe Gomez Liverpool, 22, D(CLR)",1,90,-,-,-,-,-,83.3,4,-,6.81
129,,"Moritz Leitner Norwich, 26, M(CR)",1(1),122,-,-,1,-,0.5,90.1,-,-,6.81
130,,"Nicolas Pépé Arsenal, 24, AM(R),FW",0(2),64,-,-,-,-,0.5,79.4,0.5,-,6.8
131,,"Matthew Lowton Burnley, 30, D(LR),M(R)",2,180,-,-,-,-,0.5,58.7,0.5,-,6.79
132,,"Davinson Sánchez Tottenham, 23, D(C)",2,180,-,-,-,-,1,93.6,1,-,6.78
133,,"Dean Henderson Sheffield United, 22, GK",2,180,-,-,-,-,-,38.8,0.5,-,6.77
134,,"Björn Engels Aston Villa, 24, D(C)",2,180,-,-,-,-,0.5,88.3,5.5,-,6.76
135,,"Jean-Philippe Gbamin Everton, 23, D(CR),DMC",1(1),135,-,-,-,-,-,71.4,1.5,-,6.76
136,,"Tim Krul Norwich, 31, GK",2,180,-,-,-,-,-,63.4,0.5,-,6.76
137,,"Rui Patrício Wolverhampton Wanderers, 31, GK",2,180,-,-,-,-,-,46.0,-,-,6.75
